omega,gain_DV_FOPDTOPT,gain_DV_SOPDTOPT,phase_DV_FOPDTOPT,phase_DV_SOPDTOPT
1.161465998881664672e-04,-8.809866170754549586e+00,-8.814224420516879377e+00,-1.216731049152004474e+00,-1.213234693174934042e+00
1.162804089957621080e-04,-8.809870135518680812e+00,-8.814228363301676694e+00,-1.218132462084712264e+00,-1.214632081591205726e+00
1.164143722609248043e-04,-8.809874109419821409e+00,-8.814232315172860766e+00,-1.219535488342682550e+00,-1.216031078708430968e+00
1.165484898612552476e-04,-8.809878092479017653e+00,-8.814236276151355298e+00,-1.220940129780427874e+00,-1.217431686375836764e+00
1.166827619745582165e-04,-8.809882084717369111e+00,-8.814240246258153277e+00,-1.222346388254575311e+00,-1.218833906444760196e+00
1.168171887788438650e-04,-8.809886086156016205e+00,-8.814244225514274333e+00,-1.223754265623884674e+00,-1.220237740768662871e+00
1.169517704523268952e-04,-8.809890096816163307e+00,-8.814248213940800269e+00,-1.225163763749235635e+00,-1.221643191203121370e+00
1.170865071734277229e-04,-8.809894116719036106e+00,-8.814252211558850192e+00,-1.226574884493641937e+00,-1.223050259605840795e+00
1.172213991207723017e-04,-8.809898145885940224e+00,-8.814256218389601827e+00,-1.227987629722247842e+00,-1.224458947836650324e+00
1.173564464731920143e-04,-8.809902184338213260e+00,-8.814260234454277310e+00,-1.229402001302330349e+00,-1.225869257757504993e+00
1.174916494097247435e-04,-8.809906232097244327e+00,-8.814264259774146737e+00,-1.230818001103305193e+00,-1.227281191232494795e+00
1.176270081096141804e-04,-8.809910289184472276e+00,-8.814268294370533496e+00,-1.232235630996724618e+00,-1.228694750127838020e+00
1.177625227523109770e-04,-8.809914355621383919e+00,-8.814272338264801832e+00,-1.233654892856285601e+00,-1.230109936311893026e+00
1.178981935174720276e-04,-8.809918431429519359e+00,-8.814276391478376382e+00,-1.235075788557824295e+00,-1.231526751655151131e+00
1.180340205849616207e-04,-8.809922516630466660e+00,-8.814280454032720868e+00,-1.236498319979327354e+00,-1.232945198030247491e+00
1.181700041348512090e-04,-8.809926611245858297e+00,-8.814284525949357629e+00,-1.237922489000929271e+00,-1.234365277311960218e+00
1.183061443474193547e-04,-8.809930715297390691e+00,-8.814288607249846308e+00,-1.239348297504913043e+00,-1.235786991377208377e+00
1.184424414031528140e-04,-8.809934828806790463e+00,-8.814292697955812272e+00,-1.240775747375718607e+00,-1.237210342105064198e+00
1.185788954827457644e-04,-8.809938951795846407e+00,-8.814296798088916418e+00,-1.242204840499938401e+00,-1.238635331376743975e+00
1.187155067671010519e-04,-8.809943084286398829e+00,-8.814300907670872931e+00,-1.243635578766326910e+00,-1.240061961075620944e+00
