tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.500000000000056843e-03
2.000000000000000000e+00,1.000000000000000000e+00,4.749999999999943504e-03
3.000000000000000000e+00,1.000000000000000000e+00,4.749999999999943504e-03
4.000000000000000000e+00,1.000000000000000000e+00,4.749999999999943504e-03
5.000000000000000000e+00,1.000000000000000000e+00,4.749999999999943504e-03
6.000000000000000000e+00,1.000000000000000000e+00,3.999999999999915082e-03
7.000000000000000000e+00,1.000000000000000000e+00,2.999999999999935878e-03
8.000000000000000000e+00,1.000000000000000000e+00,4.749999999999943504e-03
9.000000000000000000e+00,1.000000000000000000e+00,3.999999999999915082e-03
1.000000000000000000e+01,1.000000000000000000e+00,3.999999999999915082e-03
1.100000000000000000e+01,1.000000000000000000e+00,3.999999999999915082e-03
1.200000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
1.300000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
1.400000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
1.500000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
1.600000000000000000e+01,1.000000000000000000e+00,1.274999999999995061e-02
1.700000000000000000e+01,1.000000000000000000e+00,1.274999999999995061e-02
1.800000000000000000e+01,1.000000000000000000e+00,1.274999999999995061e-02
1.900000000000000000e+01,1.000000000000000000e+00,1.274999999999995061e-02
2.000000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.999999999999992756e-02
2.200000000000000000e+01,1.000000000000000000e+00,2.074999999999995598e-02
2.300000000000000000e+01,1.000000000000000000e+00,2.074999999999995598e-02
2.400000000000000000e+01,1.000000000000000000e+00,2.074999999999995598e-02
2.500000000000000000e+01,1.000000000000000000e+00,2.074999999999995598e-02
2.600000000000000000e+01,1.000000000000000000e+00,2.324999999999999289e-02
2.700000000000000000e+01,1.000000000000000000e+00,2.475000000000004974e-02
2.800000000000000000e+01,1.000000000000000000e+00,2.724999999999990624e-02
2.900000000000000000e+01,1.000000000000000000e+00,2.899999999999991473e-02
3.000000000000000000e+01,1.000000000000000000e+00,2.899999999999991473e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.899999999999991473e-02
3.200000000000000000e+01,1.000000000000000000e+00,3.375000000000003691e-02
3.300000000000000000e+01,1.000000000000000000e+00,3.699999999999992184e-02
3.400000000000000000e+01,1.000000000000000000e+00,3.699999999999992184e-02
3.500000000000000000e+01,1.000000000000000000e+00,3.699999999999992184e-02
3.600000000000000000e+01,1.000000000000000000e+00,4.424999999999990052e-02
3.700000000000000000e+01,1.000000000000000000e+00,4.499999999999992895e-02
3.800000000000000000e+01,1.000000000000000000e+00,4.499999999999992895e-02
3.900000000000000000e+01,1.000000000000000000e+00,4.649999999999998579e-02
4.000000000000000000e+01,1.000000000000000000e+00,5.299999999999993605e-02
4.100000000000000000e+01,1.000000000000000000e+00,5.299999999999993605e-02
4.200000000000000000e+01,1.000000000000000000e+00,5.475000000000011802e-02
4.300000000000000000e+01,1.000000000000000000e+00,5.950000000000006672e-02
4.400000000000000000e+01,1.000000000000000000e+00,6.100000000000012357e-02
4.500000000000000000e+01,1.000000000000000000e+00,6.100000000000012357e-02
4.600000000000000000e+01,1.000000000000000000e+00,6.274999999999994471e-02
4.700000000000000000e+01,1.000000000000000000e+00,6.925000000000007538e-02
4.800000000000000000e+01,1.000000000000000000e+00,6.925000000000007538e-02
4.900000000000000000e+01,1.000000000000000000e+00,6.925000000000007538e-02
5.000000000000000000e+01,1.000000000000000000e+00,7.649999999999987366e-02
5.100000000000000000e+01,1.000000000000000000e+00,7.724999999999990208e-02
5.200000000000000000e+01,1.000000000000000000e+00,7.799999999999993050e-02
5.300000000000000000e+01,1.000000000000000000e+00,8.525000000000008959e-02
5.400000000000000000e+01,1.000000000000000000e+00,8.525000000000008959e-02
5.500000000000000000e+01,1.000000000000000000e+00,8.600000000000011802e-02
5.600000000000000000e+01,1.000000000000000000e+00,9.324999999999991629e-02
5.700000000000000000e+01,1.000000000000000000e+00,9.324999999999991629e-02
5.800000000000000000e+01,1.000000000000000000e+00,9.324999999999991629e-02
5.900000000000000000e+01,1.000000000000000000e+00,9.724999999999983658e-02
6.000000000000000000e+01,1.000000000000000000e+00,1.014999999999998820e-01
6.100000000000000000e+01,1.000000000000000000e+00,1.014999999999998820e-01
6.200000000000000000e+01,1.000000000000000000e+00,1.014999999999998820e-01
6.300000000000000000e+01,1.000000000000000000e+00,1.062499999999998168e-01
6.400000000000000000e+01,1.000000000000000000e+00,1.095000000000000695e-01
6.500000000000000000e+01,1.000000000000000000e+00,1.095000000000000695e-01
6.600000000000000000e+01,1.000000000000000000e+00,1.095000000000000695e-01
6.700000000000000000e+01,1.000000000000000000e+00,1.127499999999999475e-01
6.800000000000000000e+01,1.000000000000000000e+00,1.174999999999998962e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.174999999999998962e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.200000000000001066e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.255000000000000837e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.255000000000000837e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.305000000000001437e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.334999999999998965e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.334999999999998965e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.334999999999998965e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.384999999999999842e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.407500000000000695e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.417499999999998761e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.417499999999998761e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.472499999999998255e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.497500000000000497e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.497500000000000497e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.497500000000000497e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.569999999999998619e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.577499999999998903e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.577499999999998903e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.634999999999999787e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.657500000000000639e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.657500000000000639e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.667499999999998705e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.714999999999998193e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.740000000000000158e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.740000000000000158e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.802500000000000213e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.819999999999998563e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.819999999999998563e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.874999999999998335e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.900000000000000300e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.900000000000000300e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.957500000000001461e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.979999999999998705e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.979999999999998705e-01
1.040000000000000000e+02,1.000000000000000000e+00,2.029999999999999305e-01
1.050000000000000000e+02,1.000000000000000000e+00,2.062499999999998224e-01
1.060000000000000000e+02,1.000000000000000000e+00,2.062499999999998224e-01
1.070000000000000000e+02,1.000000000000000000e+00,2.110000000000001319e-01
1.080000000000000000e+02,1.000000000000000000e+00,2.142499999999999960e-01
1.090000000000000000e+02,1.000000000000000000e+00,2.142499999999999960e-01
1.100000000000000000e+02,1.000000000000000000e+00,2.207500000000001406e-01
1.110000000000000000e+02,1.000000000000000000e+00,2.222499999999998366e-01
1.120000000000000000e+02,1.000000000000000000e+00,2.222499999999998366e-01
1.130000000000000000e+02,1.000000000000000000e+00,2.229999999999998650e-01
1.140000000000000000e+02,1.000000000000000000e+00,2.279999999999999249e-01
1.150000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
1.160000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
1.170000000000000000e+02,1.000000000000000000e+00,2.319999999999998452e-01
1.180000000000000000e+02,1.000000000000000000e+00,2.382499999999998508e-01
1.190000000000000000e+02,1.000000000000000000e+00,2.382499999999998508e-01
1.200000000000000000e+02,1.000000000000000000e+00,2.382499999999998508e-01
1.210000000000000000e+02,1.000000000000000000e+00,2.439999999999999392e-01
1.220000000000000000e+02,1.000000000000000000e+00,2.464999999999998026e-01
1.230000000000000000e+02,1.000000000000000000e+00,2.464999999999998026e-01
1.240000000000000000e+02,1.000000000000000000e+00,2.479999999999998594e-01
1.250000000000000000e+02,1.000000000000000000e+00,2.520000000000001128e-01
1.260000000000000000e+02,1.000000000000000000e+00,2.545000000000000040e-01
1.270000000000000000e+02,1.000000000000000000e+00,2.545000000000000040e-01
1.280000000000000000e+02,1.000000000000000000e+00,2.552500000000000324e-01
1.290000000000000000e+02,1.000000000000000000e+00,2.624999999999994560e-01
1.300000000000000000e+02,1.000000000000000000e+00,2.624999999999994560e-01
1.310000000000000000e+02,1.000000000000000000e+00,2.624999999999994560e-01
1.320000000000000000e+02,1.000000000000000000e+00,2.624999999999994560e-01
1.330000000000000000e+02,1.000000000000000000e+00,2.705000000000000182e-01
1.340000000000000000e+02,1.000000000000000000e+00,2.705000000000000182e-01
1.350000000000000000e+02,1.000000000000000000e+00,2.714999999999994640e-01
1.360000000000000000e+02,1.000000000000000000e+00,2.770000000000001350e-01
1.370000000000000000e+02,1.000000000000000000e+00,2.787499999999999423e-01
1.380000000000000000e+02,1.000000000000000000e+00,2.787499999999999423e-01
1.390000000000000000e+02,1.000000000000000000e+00,2.827499999999995017e-01
1.400000000000000000e+02,1.000000000000000000e+00,2.842499999999999472e-01
1.410000000000000000e+02,1.000000000000000000e+00,2.867500000000001714e-01
1.420000000000000000e+02,1.000000000000000000e+00,2.867500000000001714e-01
1.430000000000000000e+02,1.000000000000000000e+00,2.874999999999994782e-01
1.440000000000000000e+02,1.000000000000000000e+00,2.874999999999994782e-01
1.450000000000000000e+02,1.000000000000000000e+00,2.947499999999999565e-01
1.460000000000000000e+02,1.000000000000000000e+00,2.947499999999999565e-01
1.470000000000000000e+02,1.000000000000000000e+00,2.947499999999999565e-01
1.480000000000000000e+02,1.000000000000000000e+00,2.954999999999999849e-01
1.490000000000000000e+02,1.000000000000000000e+00,2.979999999999994875e-01
1.500000000000000000e+02,1.000000000000000000e+00,3.020000000000001572e-01
1.510000000000000000e+02,1.000000000000000000e+00,3.027499999999994640e-01
1.520000000000000000e+02,1.000000000000000000e+00,3.027499999999994640e-01
1.530000000000000000e+02,1.000000000000000000e+00,3.034999999999994924e-01
1.540000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.550000000000000000e+02,1.000000000000000000e+00,3.084999999999995524e-01
1.560000000000000000e+02,1.000000000000000000e+00,3.107499999999999707e-01
1.570000000000000000e+02,1.000000000000000000e+00,3.107499999999999707e-01
1.580000000000000000e+02,1.000000000000000000e+00,3.124999999999994449e-01
1.590000000000000000e+02,1.000000000000000000e+00,3.172500000000001430e-01
1.600000000000000000e+02,1.000000000000000000e+00,3.189999999999999503e-01
1.610000000000000000e+02,1.000000000000000000e+00,3.189999999999999503e-01
1.620000000000000000e+02,1.000000000000000000e+00,3.229999999999995097e-01
1.630000000000000000e+02,1.000000000000000000e+00,3.270000000000001239e-01
1.640000000000000000e+02,1.000000000000000000e+00,3.270000000000001239e-01
1.650000000000000000e+02,1.000000000000000000e+00,3.270000000000001239e-01
1.660000000000000000e+02,1.000000000000000000e+00,3.310000000000000719e-01
1.670000000000000000e+02,1.000000000000000000e+00,3.349999999999999645e-01
1.680000000000000000e+02,1.000000000000000000e+00,3.349999999999999645e-01
1.690000000000000000e+02,1.000000000000000000e+00,3.349999999999999645e-01
1.700000000000000000e+02,1.000000000000000000e+00,3.367500000000001603e-01
1.710000000000000000e+02,1.000000000000000000e+00,3.430000000000001381e-01
1.720000000000000000e+02,1.000000000000000000e+00,3.430000000000001381e-01
1.730000000000000000e+02,1.000000000000000000e+00,3.430000000000001381e-01
1.740000000000000000e+02,1.000000000000000000e+00,3.447500000000000009e-01
1.750000000000000000e+02,1.000000000000000000e+00,3.462500000000000577e-01
1.760000000000000000e+02,1.000000000000000000e+00,3.512500000000001177e-01
1.770000000000000000e+02,1.000000000000000000e+00,3.512500000000001177e-01
1.780000000000000000e+02,1.000000000000000000e+00,3.512500000000001177e-01
1.790000000000000000e+02,1.000000000000000000e+00,3.512500000000001177e-01
1.800000000000000000e+02,1.000000000000000000e+00,3.512500000000001177e-01
1.810000000000000000e+02,1.000000000000000000e+00,3.512500000000001177e-01
1.820000000000000000e+02,1.000000000000000000e+00,3.520000000000001461e-01
1.830000000000000000e+02,1.000000000000000000e+00,3.512500000000001177e-01
1.840000000000000000e+02,1.000000000000000000e+00,3.567500000000000671e-01
1.850000000000000000e+02,1.000000000000000000e+00,3.584999999999995413e-01
1.860000000000000000e+02,1.000000000000000000e+00,3.592499999999999583e-01
1.870000000000000000e+02,1.000000000000000000e+00,3.592499999999999583e-01
1.880000000000000000e+02,1.000000000000000000e+00,3.592499999999999583e-01
1.890000000000000000e+02,1.000000000000000000e+00,3.592499999999999583e-01
1.900000000000000000e+02,1.000000000000000000e+00,3.657500000000000751e-01
1.910000000000000000e+02,1.000000000000000000e+00,3.672500000000001319e-01
1.920000000000000000e+02,1.000000000000000000e+00,3.672500000000001319e-01
1.930000000000000000e+02,1.000000000000000000e+00,3.680000000000001603e-01
1.940000000000000000e+02,1.000000000000000000e+00,3.752499999999999725e-01
1.950000000000000000e+02,1.000000000000000000e+00,3.752499999999999725e-01
1.960000000000000000e+02,1.000000000000000000e+00,3.752499999999999725e-01
1.970000000000000000e+02,1.000000000000000000e+00,3.760000000000000009e-01
1.980000000000000000e+02,1.000000000000000000e+00,3.760000000000000009e-01
1.990000000000000000e+02,1.000000000000000000e+00,3.825000000000001177e-01
2.000000000000000000e+02,1.000000000000000000e+00,3.832500000000001461e-01
2.010000000000000000e+02,1.000000000000000000e+00,3.832500000000001461e-01
2.020000000000000000e+02,1.000000000000000000e+00,3.832500000000001461e-01
2.030000000000000000e+02,1.000000000000000000e+00,3.832500000000001461e-01
2.040000000000000000e+02,1.000000000000000000e+00,3.865000000000000102e-01
2.050000000000000000e+02,1.000000000000000000e+00,3.897499999999995413e-01
2.060000000000000000e+02,1.000000000000000000e+00,3.915000000000000702e-01
2.070000000000000000e+02,1.000000000000000000e+00,3.915000000000000702e-01
2.080000000000000000e+02,1.000000000000000000e+00,3.915000000000000702e-01
2.090000000000000000e+02,1.000000000000000000e+00,3.962500000000000466e-01
2.100000000000000000e+02,1.000000000000000000e+00,3.987499999999995492e-01
2.110000000000000000e+02,1.000000000000000000e+00,3.994999999999995777e-01
2.120000000000000000e+02,1.000000000000000000e+00,3.994999999999995777e-01
2.130000000000000000e+02,1.000000000000000000e+00,4.020000000000001350e-01
2.140000000000000000e+02,1.000000000000000000e+00,4.067500000000000560e-01
2.150000000000000000e+02,1.000000000000000000e+00,4.075000000000000844e-01
2.160000000000000000e+02,1.000000000000000000e+00,4.075000000000000844e-01
2.170000000000000000e+02,1.000000000000000000e+00,4.075000000000000844e-01
2.180000000000000000e+02,1.000000000000000000e+00,4.075000000000000844e-01
2.190000000000000000e+02,1.000000000000000000e+00,4.075000000000000844e-01
2.200000000000000000e+02,1.000000000000000000e+00,4.092499999999999472e-01
2.210000000000000000e+02,1.000000000000000000e+00,4.115000000000000324e-01
2.220000000000000000e+02,1.000000000000000000e+00,4.147499999999995635e-01
2.230000000000000000e+02,1.000000000000000000e+00,4.154999999999999249e-01
2.240000000000000000e+02,1.000000000000000000e+00,4.154999999999999249e-01
2.250000000000000000e+02,1.000000000000000000e+00,4.154999999999999249e-01
2.260000000000000000e+02,1.000000000000000000e+00,4.165000000000000924e-01
2.270000000000000000e+02,1.000000000000000000e+00,4.154999999999999249e-01
2.280000000000000000e+02,1.000000000000000000e+00,4.220000000000000417e-01
2.290000000000000000e+02,1.000000000000000000e+00,4.237499999999995159e-01
2.300000000000000000e+02,1.000000000000000000e+00,4.237499999999995159e-01
2.310000000000000000e+02,1.000000000000000000e+00,4.252499999999999614e-01
2.320000000000000000e+02,1.000000000000000000e+00,4.310000000000000497e-01
2.330000000000000000e+02,1.000000000000000000e+00,4.317500000000000782e-01
2.340000000000000000e+02,1.000000000000000000e+00,4.317500000000000782e-01
2.350000000000000000e+02,1.000000000000000000e+00,4.325000000000001066e-01
2.360000000000000000e+02,1.000000000000000000e+00,4.349999999999999423e-01
2.370000000000000000e+02,1.000000000000000000e+00,4.364999999999999991e-01
2.380000000000000000e+02,1.000000000000000000e+00,4.389999999999995017e-01
2.390000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.400000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.410000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.420000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.430000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.440000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.450000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.460000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.470000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.480000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.490000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.500000000000000000e+02,1.000000000000000000e+00,4.397499999999995302e-01
2.510000000000000000e+02,1.000000000000000000e+00,4.444999999999995066e-01
2.520000000000000000e+02,1.000000000000000000e+00,4.470000000000000639e-01
2.530000000000000000e+02,1.000000000000000000e+00,4.477500000000000924e-01
2.540000000000000000e+02,1.000000000000000000e+00,4.477500000000000924e-01
2.550000000000000000e+02,1.000000000000000000e+00,4.477500000000000924e-01
2.560000000000000000e+02,1.000000000000000000e+00,4.487499999999995381e-01
2.570000000000000000e+02,1.000000000000000000e+00,4.542499999999994875e-01
2.580000000000000000e+02,1.000000000000000000e+00,4.560000000000000719e-01
2.590000000000000000e+02,1.000000000000000000e+00,4.560000000000000719e-01
2.600000000000000000e+02,1.000000000000000000e+00,4.560000000000000719e-01
2.610000000000000000e+02,1.000000000000000000e+00,4.567500000000001004e-01
2.620000000000000000e+02,1.000000000000000000e+00,4.615000000000000213e-01
2.630000000000000000e+02,1.000000000000000000e+00,4.639999999999995239e-01
2.640000000000000000e+02,1.000000000000000000e+00,4.639999999999995239e-01
2.650000000000000000e+02,1.000000000000000000e+00,4.639999999999995239e-01
2.660000000000000000e+02,1.000000000000000000e+00,4.687499999999994449e-01
2.670000000000000000e+02,1.000000000000000000e+00,4.720000000000000862e-01
2.680000000000000000e+02,1.000000000000000000e+00,4.720000000000000862e-01
2.690000000000000000e+02,1.000000000000000000e+00,4.720000000000000862e-01
2.700000000000000000e+02,1.000000000000000000e+00,4.735000000000001430e-01
2.710000000000000000e+02,1.000000000000000000e+00,4.735000000000001430e-01
2.720000000000000000e+02,1.000000000000000000e+00,4.744999999999995888e-01
2.730000000000000000e+02,1.000000000000000000e+00,4.792499999999995097e-01
2.740000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.750000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.760000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.770000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.780000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.790000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.800000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.810000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.820000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.830000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.840000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.850000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.860000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.870000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.880000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.890000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.900000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.910000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.920000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.930000000000000000e+02,1.000000000000000000e+00,4.799999999999995381e-01
2.940000000000000000e+02,1.000000000000000000e+00,4.807499999999995666e-01
2.950000000000000000e+02,1.000000000000000000e+00,4.857500000000000151e-01
2.960000000000000000e+02,1.000000000000000000e+00,4.880000000000001004e-01
2.970000000000000000e+02,1.000000000000000000e+00,4.880000000000001004e-01
2.980000000000000000e+02,1.000000000000000000e+00,4.880000000000001004e-01
2.990000000000000000e+02,1.000000000000000000e+00,4.889999999999995461e-01
3.000000000000000000e+02,1.000000000000000000e+00,4.889999999999995461e-01
